[09/05/22 15:39:32:0254150] [INFO   ]: Logging started
[09/05/22 15:39:35:5220041] [INFO   ]: Connecting to load balancer
[09/05/22 15:39:35:5277683] [INFO   ]: Socket connected to 127.0.0.1:7107
[09/05/22 15:39:35:5286073] [INFO   ]: Waiting for response from load balance
[09/05/22 15:39:35:5287917] [DEBUG  ]: Starting load balancer recieve
[09/05/22 15:39:35:5295245] [DEBUG  ]: Recieved
[09/05/22 15:39:35:5299517] [INFO   ]: Position in queue: 0
[09/05/22 15:39:35:5305275] [DEBUG  ]: Starting load balancer recieve
[09/05/22 15:39:35:5369350] [DEBUG  ]: Recieved
[09/05/22 15:39:35:5379181] [INFO   ]: Being transfered to 127.0.0.1:10123
[09/05/22 15:39:35:5384534] [WARNING]: Shutting down logging
