[10/05/22 13:08:41:3205769] [INFO   ]: Logging started
[10/05/22 13:08:41:3800113] [INFO   ]: Starting Spooler receive
[10/05/22 13:08:41:4013366] [INFO   ]: Load Balancer server start
[10/05/22 13:08:41:4062617] [INFO   ]: Load Balancer Client Accept Thread Start
[10/05/22 13:08:41:4129954] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:08:41:4139394] [INFO   ]: Waiting for client to connect
[10/05/22 13:08:41:4177700] [INFO   ]: Recieving servers from spooler
[10/05/22 13:08:41:4185505] [INFO   ]: Recieve server done
[10/05/22 13:08:41:4205515] [INFO   ]: Replying to spooler
[10/05/22 13:08:43:4910488] [DEBUG  ]: Recieving packet from Spooler of len 37
[10/05/22 13:08:43:4920833] [INFO   ]: Recieving servers from spooler
[10/05/22 13:08:43:4939144] [DEBUG  ]: Recieved server: 127.0.0.1:10123 - 0
[10/05/22 13:08:43:4943588] [DEBUG  ]: Recieved server: 127.0.0.1:10124 - 0
[10/05/22 13:08:43:4945905] [DEBUG  ]: Recieved server: 127.0.0.1:10125 - 0
[10/05/22 13:08:43:4947779] [DEBUG  ]: Recieved server: 127.0.0.1:10126 - 0
[10/05/22 13:08:43:4949671] [DEBUG  ]: Recieved server: 127.0.0.1:10127 - 0
[10/05/22 13:08:43:4951524] [INFO   ]: Recieve server done
[10/05/22 13:08:43:4953313] [INFO   ]: Replying to spooler
[10/05/22 13:08:43:6426020] [DEBUG  ]: Recieving packet from Spooler of len 37
[10/05/22 13:08:43:6442614] [INFO   ]: Recieving servers from spooler
[10/05/22 13:08:43:6447545] [DEBUG  ]: Recieved server: 127.0.0.1:10123 - 0
[10/05/22 13:08:43:6453542] [DEBUG  ]: Recieved server: 127.0.0.1:10124 - 0
[10/05/22 13:08:43:6456777] [DEBUG  ]: Recieved server: 127.0.0.1:10125 - 0
[10/05/22 13:08:43:6459764] [DEBUG  ]: Recieved server: 127.0.0.1:10126 - 0
[10/05/22 13:08:43:6463015] [DEBUG  ]: Recieved server: 127.0.0.1:10127 - 0
[10/05/22 13:08:43:6465907] [INFO   ]: Recieve server done
[10/05/22 13:08:43:6468485] [INFO   ]: Replying to spooler
[10/05/22 13:08:43:7288203] [DEBUG  ]: Recieving packet from Spooler of len 37
[10/05/22 13:08:43:7363318] [INFO   ]: Recieving servers from spooler
[10/05/22 13:08:43:7381932] [DEBUG  ]: Recieved server: 127.0.0.1:10123 - 0
[10/05/22 13:08:43:7399809] [DEBUG  ]: Recieved server: 127.0.0.1:10124 - 0
[10/05/22 13:08:43:7418535] [DEBUG  ]: Recieved server: 127.0.0.1:10125 - 0
[10/05/22 13:08:43:7439470] [DEBUG  ]: Recieved server: 127.0.0.1:10126 - 0
[10/05/22 13:08:43:7535240] [DEBUG  ]: Recieved server: 127.0.0.1:10127 - 0
[10/05/22 13:08:43:7560787] [INFO   ]: Recieve server done
[10/05/22 13:08:43:7579306] [INFO   ]: Replying to spooler
[10/05/22 13:08:43:8816782] [DEBUG  ]: Recieving packet from Spooler of len 37
[10/05/22 13:08:43:8851553] [INFO   ]: Recieving servers from spooler
[10/05/22 13:08:43:8882653] [DEBUG  ]: Recieved server: 127.0.0.1:10123 - 0
[10/05/22 13:08:43:8890655] [DEBUG  ]: Recieved server: 127.0.0.1:10124 - 0
[10/05/22 13:08:43:8898653] [DEBUG  ]: Recieved server: 127.0.0.1:10125 - 0
[10/05/22 13:08:43:8901007] [DEBUG  ]: Recieved server: 127.0.0.1:10126 - 0
[10/05/22 13:08:43:8914880] [DEBUG  ]: Recieved server: 127.0.0.1:10127 - 0
[10/05/22 13:08:43:8922669] [INFO   ]: Recieve server done
[10/05/22 13:08:43:8930926] [INFO   ]: Replying to spooler
[10/05/22 13:08:43:9626868] [DEBUG  ]: Recieving packet from Spooler of len 37
[10/05/22 13:08:43:9696707] [INFO   ]: Recieving servers from spooler
[10/05/22 13:08:43:9703834] [DEBUG  ]: Recieved server: 127.0.0.1:10123 - 0
[10/05/22 13:08:43:9710100] [DEBUG  ]: Recieved server: 127.0.0.1:10124 - 0
[10/05/22 13:08:43:9716887] [DEBUG  ]: Recieved server: 127.0.0.1:10125 - 0
[10/05/22 13:08:43:9722462] [DEBUG  ]: Recieved server: 127.0.0.1:10126 - 0
[10/05/22 13:08:43:9729286] [DEBUG  ]: Recieved server: 127.0.0.1:10127 - 0
[10/05/22 13:08:43:9735032] [INFO   ]: Recieve server done
[10/05/22 13:08:43:9757890] [INFO   ]: Replying to spooler
[10/05/22 13:08:44:0414103] [DEBUG  ]: Recieving packet from Spooler of len 37
[10/05/22 13:08:44:0435137] [INFO   ]: Recieving servers from spooler
[10/05/22 13:08:44:0466003] [DEBUG  ]: Recieved server: 127.0.0.1:10123 - 0
[10/05/22 13:08:44:0483784] [DEBUG  ]: Recieved server: 127.0.0.1:10124 - 0
[10/05/22 13:08:44:0505045] [DEBUG  ]: Recieved server: 127.0.0.1:10125 - 0
[10/05/22 13:08:44:0560886] [DEBUG  ]: Recieved server: 127.0.0.1:10126 - 0
[10/05/22 13:08:44:0571269] [DEBUG  ]: Recieved server: 127.0.0.1:10127 - 0
[10/05/22 13:08:44:0602897] [INFO   ]: Recieve server done
[10/05/22 13:08:44:0613786] [INFO   ]: Replying to spooler
[10/05/22 13:08:44:1438860] [DEBUG  ]: Recieving packet from Spooler of len 37
[10/05/22 13:08:44:1462316] [INFO   ]: Recieving servers from spooler
[10/05/22 13:08:44:1507502] [DEBUG  ]: Recieved server: 127.0.0.1:10123 - 0
[10/05/22 13:08:44:1517870] [DEBUG  ]: Recieved server: 127.0.0.1:10124 - 0
[10/05/22 13:08:44:1527190] [DEBUG  ]: Recieved server: 127.0.0.1:10125 - 0
[10/05/22 13:08:44:1538845] [DEBUG  ]: Recieved server: 127.0.0.1:10126 - 0
[10/05/22 13:08:44:1550631] [DEBUG  ]: Recieved server: 127.0.0.1:10127 - 0
[10/05/22 13:08:44:1561851] [INFO   ]: Recieve server done
[10/05/22 13:08:44:1571640] [INFO   ]: Replying to spooler
[10/05/22 13:08:44:2245331] [DEBUG  ]: Recieving packet from Spooler of len 37
[10/05/22 13:08:44:2284057] [INFO   ]: Recieving servers from spooler
[10/05/22 13:08:44:2300901] [DEBUG  ]: Recieved server: 127.0.0.1:10123 - 0
[10/05/22 13:08:44:2360077] [DEBUG  ]: Recieved server: 127.0.0.1:10124 - 0
[10/05/22 13:08:44:2376915] [DEBUG  ]: Recieved server: 127.0.0.1:10125 - 0
[10/05/22 13:08:44:2434386] [DEBUG  ]: Recieved server: 127.0.0.1:10126 - 0
[10/05/22 13:08:44:2452686] [DEBUG  ]: Recieved server: 127.0.0.1:10127 - 0
[10/05/22 13:08:44:2486191] [INFO   ]: Recieve server done
[10/05/22 13:08:44:2504263] [INFO   ]: Replying to spooler
[10/05/22 13:08:44:3271590] [DEBUG  ]: Recieving packet from Spooler of len 37
[10/05/22 13:08:44:3367934] [INFO   ]: Recieving servers from spooler
[10/05/22 13:08:44:3386207] [DEBUG  ]: Recieved server: 127.0.0.1:10123 - 0
[10/05/22 13:08:44:3404459] [DEBUG  ]: Recieved server: 127.0.0.1:10124 - 0
[10/05/22 13:08:44:3422810] [DEBUG  ]: Recieved server: 127.0.0.1:10125 - 0
[10/05/22 13:08:44:3475561] [DEBUG  ]: Recieved server: 127.0.0.1:10126 - 0
[10/05/22 13:08:44:3546575] [DEBUG  ]: Recieved server: 127.0.0.1:10127 - 0
[10/05/22 13:08:44:3563495] [INFO   ]: Recieve server done
[10/05/22 13:08:44:3580202] [INFO   ]: Replying to spooler
[10/05/22 13:08:44:4778364] [DEBUG  ]: Recieving packet from Spooler of len 37
[10/05/22 13:08:44:4850025] [INFO   ]: Recieving servers from spooler
[10/05/22 13:08:44:4869856] [DEBUG  ]: Recieved server: 127.0.0.1:10123 - 0
[10/05/22 13:08:44:4885649] [DEBUG  ]: Recieved server: 127.0.0.1:10124 - 0
[10/05/22 13:08:44:4902748] [DEBUG  ]: Recieved server: 127.0.0.1:10125 - 0
[10/05/22 13:08:44:4920612] [DEBUG  ]: Recieved server: 127.0.0.1:10126 - 0
[10/05/22 13:08:44:4981723] [DEBUG  ]: Recieved server: 127.0.0.1:10127 - 0
[10/05/22 13:08:44:5006932] [INFO   ]: Recieve server done
[10/05/22 13:08:44:5029982] [INFO   ]: Replying to spooler
[10/05/22 13:08:44:5789674] [DEBUG  ]: Recieving packet from Spooler of len 37
[10/05/22 13:08:44:5840119] [INFO   ]: Recieving servers from spooler
[10/05/22 13:08:44:5863397] [DEBUG  ]: Recieved server: 127.0.0.1:10123 - 0
[10/05/22 13:08:44:5894497] [DEBUG  ]: Recieved server: 127.0.0.1:10124 - 0
[10/05/22 13:08:44:5911334] [DEBUG  ]: Recieved server: 127.0.0.1:10125 - 0
[10/05/22 13:08:44:5928649] [DEBUG  ]: Recieved server: 127.0.0.1:10126 - 0
[10/05/22 13:08:44:5946739] [DEBUG  ]: Recieved server: 127.0.0.1:10127 - 0
[10/05/22 13:08:44:5964995] [INFO   ]: Recieve server done
[10/05/22 13:08:44:5983760] [INFO   ]: Replying to spooler
[10/05/22 13:08:44:6700737] [DEBUG  ]: Recieving packet from Spooler of len 37
[10/05/22 13:08:44:6750720] [INFO   ]: Recieving servers from spooler
[10/05/22 13:08:44:6784321] [DEBUG  ]: Recieved server: 127.0.0.1:10123 - 0
[10/05/22 13:08:44:6801915] [DEBUG  ]: Recieved server: 127.0.0.1:10124 - 0
[10/05/22 13:08:44:6879486] [DEBUG  ]: Recieved server: 127.0.0.1:10125 - 0
[10/05/22 13:08:44:6896750] [DEBUG  ]: Recieved server: 127.0.0.1:10126 - 0
[10/05/22 13:08:44:6929895] [DEBUG  ]: Recieved server: 127.0.0.1:10127 - 0
[10/05/22 13:08:44:6948916] [INFO   ]: Recieve server done
[10/05/22 13:08:44:7007846] [INFO   ]: Replying to spooler
[10/05/22 13:08:44:7762552] [DEBUG  ]: Recieving packet from Spooler of len 37
[10/05/22 13:08:44:7805081] [INFO   ]: Recieving servers from spooler
[10/05/22 13:08:44:7859642] [DEBUG  ]: Recieved server: 127.0.0.1:10123 - 0
[10/05/22 13:08:44:7877780] [DEBUG  ]: Recieved server: 127.0.0.1:10124 - 0
[10/05/22 13:08:44:7895151] [DEBUG  ]: Recieved server: 127.0.0.1:10125 - 0
[10/05/22 13:08:44:7917118] [DEBUG  ]: Recieved server: 127.0.0.1:10126 - 0
[10/05/22 13:08:44:7934643] [DEBUG  ]: Recieved server: 127.0.0.1:10127 - 0
[10/05/22 13:08:44:7987293] [INFO   ]: Recieve server done
[10/05/22 13:08:44:8062539] [INFO   ]: Replying to spooler
[10/05/22 13:08:44:8860540] [DEBUG  ]: Recieving packet from Spooler of len 37
[10/05/22 13:08:44:8898140] [INFO   ]: Recieving servers from spooler
[10/05/22 13:08:44:8928244] [DEBUG  ]: Recieved server: 127.0.0.1:10123 - 0
[10/05/22 13:08:44:8938204] [DEBUG  ]: Recieved server: 127.0.0.1:10124 - 0
[10/05/22 13:08:44:8948390] [DEBUG  ]: Recieved server: 127.0.0.1:10125 - 0
[10/05/22 13:08:44:8956966] [DEBUG  ]: Recieved server: 127.0.0.1:10126 - 0
[10/05/22 13:08:44:8967283] [DEBUG  ]: Recieved server: 127.0.0.1:10127 - 0
