[10/05/22 13:08:41:9966440] [INFO   ]: Logging started
[10/05/22 13:08:42:0288947] [INFO   ]: Starting Spooler receive
[10/05/22 13:08:43:5087565] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:08:43:5102801] [INFO   ]: Spooler requested update
[10/05/22 13:08:43:6488864] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:08:43:6510879] [INFO   ]: Spooler requested update
[10/05/22 13:08:43:7620437] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:08:43:7848582] [INFO   ]: Spooler requested update
[10/05/22 13:08:43:8944636] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:08:43:8997907] [INFO   ]: Spooler requested update
[10/05/22 13:08:43:9790008] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:08:43:9795259] [INFO   ]: Spooler requested update
[10/05/22 13:08:44:0631261] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:08:44:0671921] [INFO   ]: Spooler requested update
[10/05/22 13:08:44:1591123] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:08:44:1598185] [INFO   ]: Spooler requested update
[10/05/22 13:08:44:2553170] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:08:44:2574616] [INFO   ]: Spooler requested update
[10/05/22 13:08:44:3633594] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:08:44:3926026] [INFO   ]: Spooler requested update
[10/05/22 13:08:44:5061547] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:08:44:5099032] [INFO   ]: Spooler requested update
[10/05/22 13:08:44:6023922] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:08:44:6052642] [INFO   ]: Spooler requested update
[10/05/22 13:08:44:7052915] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:08:44:7065107] [INFO   ]: Spooler requested update
[10/05/22 13:08:44:8106140] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:08:44:8117562] [INFO   ]: Spooler requested update
[10/05/22 13:08:44:9030069] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:08:44:9070843] [INFO   ]: Spooler requested update
[10/05/22 13:08:45:0485950] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:08:45:0577201] [INFO   ]: Spooler requested update
[10/05/22 13:08:45:2294139] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:08:45:2782421] [INFO   ]: Spooler requested update
[10/05/22 13:08:45:4112202] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:08:45:4202484] [INFO   ]: Spooler requested update
[10/05/22 13:08:45:5650949] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:08:45:5690516] [INFO   ]: Spooler requested update
[10/05/22 13:08:45:7477558] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:08:45:7566479] [INFO   ]: Spooler requested update
[10/05/22 13:08:45:8688681] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:08:45:8709014] [INFO   ]: Spooler requested update
[10/05/22 13:08:45:9934734] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:08:45:9952176] [INFO   ]: Spooler requested update
[10/05/22 13:08:46:1072458] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:08:46:1222218] [INFO   ]: Spooler requested update
[10/05/22 13:08:46:2427786] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:08:46:2460660] [INFO   ]: Spooler requested update
[10/05/22 13:08:46:3835006] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:08:46:3890192] [INFO   ]: Spooler requested update
[10/05/22 13:08:46:4927532] [DEBUG  ]: Recieving packet from Spooler of len 2
[10/05/22 13:08:46:4956533] [INFO   ]: Spooler requested update
