[09/05/22 15:32:50:2858845] [INFO   ]: Logging started
[09/05/22 15:32:50:2978562] [INFO   ]: Starting Spooler receive
[09/05/22 15:32:50:3104530] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:50:3108368] [INFO   ]: Recieving servers from spooler
[09/05/22 15:32:50:3109320] [INFO   ]: Recieve server done
[09/05/22 15:32:50:3110042] [INFO   ]: Replying to spooler
[09/05/22 15:32:50:3118790] [INFO   ]: Load Balancer server start
[09/05/22 15:32:50:3122792] [INFO   ]: Load Balancer Client Accept Thread Start
[09/05/22 15:32:50:3135790] [INFO   ]: Waiting for client to connect
[09/05/22 15:32:56:0206108] [DEBUG  ]: Recieving packet from Spooler of len 352
[09/05/22 15:32:56:0210154] [INFO   ]: Recieving servers from spooler
[09/05/22 15:32:56:0216410] [DEBUG  ]: Recieved server: 127.0.0.1:10123 - 0
[09/05/22 15:32:56:0218424] [DEBUG  ]: Recieved server: 127.0.0.1:10124 - 0
[09/05/22 15:32:56:0219559] [DEBUG  ]: Recieved server: 127.0.0.1:10125 - 0
[09/05/22 15:32:56:0220607] [DEBUG  ]: Recieved server: 127.0.0.1:10126 - 0
[09/05/22 15:32:56:0221561] [DEBUG  ]: Recieved server: 127.0.0.1:10127 - 0
[09/05/22 15:32:56:0222507] [DEBUG  ]: Recieved server: 127.0.0.1:10128 - 0
[09/05/22 15:32:56:0224098] [DEBUG  ]: Recieved server: 127.0.0.1:10129 - 0
[09/05/22 15:32:56:0225650] [DEBUG  ]: Recieved server: 127.0.0.1:10130 - 0
[09/05/22 15:32:56:0227034] [DEBUG  ]: Recieved server: 127.0.0.1:10131 - 0
[09/05/22 15:32:56:0228293] [DEBUG  ]: Recieved server: 127.0.0.1:10132 - 0
[09/05/22 15:32:56:0229602] [DEBUG  ]: Recieved server: 127.0.0.1:10133 - 0
[09/05/22 15:32:56:0231097] [DEBUG  ]: Recieved server: 127.0.0.1:10134 - 0
[09/05/22 15:32:56:0232258] [DEBUG  ]: Recieved server: 127.0.0.1:10135 - 0
[09/05/22 15:32:56:0234064] [DEBUG  ]: Recieved server: 127.0.0.1:10136 - 0
[09/05/22 15:32:56:0235426] [DEBUG  ]: Recieved server: 127.0.0.1:10137 - 0
