[09/05/22 15:32:51:5455379] [INFO   ]: Logging started
[09/05/22 15:32:51:5577402] [INFO   ]: Starting Spooler receive
[09/05/22 15:32:56:0618649] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:56:0622103] [INFO   ]: Spooler requested update
[09/05/22 15:32:56:3136853] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:56:3139093] [INFO   ]: Spooler requested update
[09/05/22 15:32:56:4977225] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:56:4980027] [INFO   ]: Spooler requested update
[09/05/22 15:32:56:6677083] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:56:6679184] [INFO   ]: Spooler requested update
[09/05/22 15:32:56:8380599] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:56:8382945] [INFO   ]: Spooler requested update
[09/05/22 15:32:57:0080579] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:57:0082689] [INFO   ]: Spooler requested update
[09/05/22 15:32:57:1766821] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:57:1768907] [INFO   ]: Spooler requested update
[09/05/22 15:32:57:3479322] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:57:3481612] [INFO   ]: Spooler requested update
[09/05/22 15:32:57:5187438] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:57:5189708] [INFO   ]: Spooler requested update
[09/05/22 15:32:57:6881220] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:57:6883474] [INFO   ]: Spooler requested update
[09/05/22 15:32:57:8646446] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:57:8649346] [INFO   ]: Spooler requested update
[09/05/22 15:32:58:0519819] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:58:0522307] [INFO   ]: Spooler requested update
[09/05/22 15:32:58:2385248] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:58:2388197] [INFO   ]: Spooler requested update
[09/05/22 15:32:58:4314996] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:58:4322585] [INFO   ]: Spooler requested update
[09/05/22 15:32:58:6679266] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:58:6707962] [INFO   ]: Spooler requested update
[09/05/22 15:32:58:9985160] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:58:9992579] [INFO   ]: Spooler requested update
[09/05/22 15:32:59:2163440] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:59:2170444] [INFO   ]: Spooler requested update
[09/05/22 15:32:59:4530209] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:59:4539009] [INFO   ]: Spooler requested update
[09/05/22 15:32:59:7689993] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:32:59:7698344] [INFO   ]: Spooler requested update
[09/05/22 15:33:00:0060061] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:33:00:0068815] [INFO   ]: Spooler requested update
[09/05/22 15:33:00:2213575] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:33:00:2220523] [INFO   ]: Spooler requested update
[09/05/22 15:33:00:4390999] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:33:00:4398194] [INFO   ]: Spooler requested update
[09/05/22 15:33:00:6558250] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:33:00:6565146] [INFO   ]: Spooler requested update
[09/05/22 15:33:00:8890474] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:33:00:8900101] [INFO   ]: Spooler requested update
[09/05/22 15:33:01:1206393] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:33:01:1213342] [INFO   ]: Spooler requested update
[09/05/22 15:33:01:3725173] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:33:01:3732875] [INFO   ]: Spooler requested update
[09/05/22 15:33:01:6031388] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:33:01:6038577] [INFO   ]: Spooler requested update
[09/05/22 15:33:01:8330524] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:33:01:8337808] [INFO   ]: Spooler requested update
[09/05/22 15:33:02:0512644] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:33:02:0520082] [INFO   ]: Spooler requested update
[09/05/22 15:33:02:2866368] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:33:02:2877985] [INFO   ]: Spooler requested update
[09/05/22 15:33:02:5343917] [DEBUG  ]: Recieving packet from Spooler of len 2
[09/05/22 15:33:02:5352569] [INFO   ]: Spooler requested update
