[09/05/22 15:32:49:9150551] [INFO   ]: Logging started
[09/05/22 15:32:50:0677467] [INFO   ]: Starting load balancer
[09/05/22 15:32:50:1647198] [INFO   ]: Waiting for load balancer response
[09/05/22 15:32:50:1657189] [INFO   ]: Accepting client
[09/05/22 15:32:50:1659136] [DEBUG  ]: Listener socket does not exist, creating
[09/05/22 15:32:50:1895073] [INFO   ]: Accepting connection
[09/05/22 15:32:50:3028383] [INFO   ]: Connection established
[09/05/22 15:32:50:3032187] [INFO   ]: Connected in 0ms
[09/05/22 15:32:50:3033810] [INFO   ]: Press Ctrl-C to exit
[09/05/22 15:32:50:3035404] [INFO   ]: Communicating with Load Balancer
[09/05/22 15:32:50:3113114] [INFO   ]: Communicating with Lobbies
[09/05/22 15:32:50:3481582] [INFO   ]: Accepting client
[09/05/22 15:32:50:3486244] [INFO   ]: Accepting connection
[09/05/22 15:32:50:4733359] [INFO   ]: Connection established
[09/05/22 15:32:50:4814208] [INFO   ]: Accepting client
[09/05/22 15:32:50:4816069] [INFO   ]: Accepting connection
[09/05/22 15:32:50:5818586] [INFO   ]: Connection established
[09/05/22 15:32:50:5895271] [INFO   ]: Accepting client
[09/05/22 15:32:50:5897247] [INFO   ]: Accepting connection
[09/05/22 15:32:50:6903476] [INFO   ]: Connection established
[09/05/22 15:32:50:7001424] [INFO   ]: Accepting client
[09/05/22 15:32:50:7003559] [INFO   ]: Accepting connection
[09/05/22 15:32:50:8143321] [INFO   ]: Connection established
[09/05/22 15:32:50:8236649] [INFO   ]: Accepting client
[09/05/22 15:32:50:8238409] [INFO   ]: Accepting connection
[09/05/22 15:32:50:9228620] [INFO   ]: Connection established
[09/05/22 15:32:50:9318921] [INFO   ]: Accepting client
[09/05/22 15:32:50:9321034] [INFO   ]: Accepting connection
[09/05/22 15:32:51:0315661] [INFO   ]: Connection established
[09/05/22 15:32:51:0406404] [INFO   ]: Accepting client
[09/05/22 15:32:51:0408500] [INFO   ]: Accepting connection
[09/05/22 15:32:51:1398767] [INFO   ]: Connection established
[09/05/22 15:32:51:1482027] [INFO   ]: Accepting client
[09/05/22 15:32:51:1484297] [INFO   ]: Accepting connection
[09/05/22 15:32:51:2483739] [INFO   ]: Connection established
[09/05/22 15:32:51:2562729] [INFO   ]: Accepting client
[09/05/22 15:32:51:2564942] [INFO   ]: Accepting connection
[09/05/22 15:32:51:3568880] [INFO   ]: Connection established
[09/05/22 15:32:51:3652084] [INFO   ]: Accepting client
[09/05/22 15:32:51:3654912] [INFO   ]: Accepting connection
[09/05/22 15:32:51:4653557] [INFO   ]: Connection established
[09/05/22 15:32:51:4735085] [INFO   ]: Accepting client
[09/05/22 15:32:51:4737042] [INFO   ]: Accepting connection
[09/05/22 15:32:51:5583605] [INFO   ]: Connection established
[09/05/22 15:32:51:5668448] [INFO   ]: Accepting client
[09/05/22 15:32:51:5670778] [INFO   ]: Accepting connection
[09/05/22 15:32:51:6668838] [INFO   ]: Connection established
[09/05/22 15:32:51:6763865] [INFO   ]: Accepting client
[09/05/22 15:32:51:6765874] [INFO   ]: Accepting connection
[09/05/22 15:32:51:7753955] [INFO   ]: Connection established
[09/05/22 15:32:51:7846856] [INFO   ]: Accepting client
[09/05/22 15:32:51:7849804] [INFO   ]: Accepting connection
[09/05/22 15:32:51:8838698] [INFO   ]: Connection established
[09/05/22 15:32:51:8922495] [INFO   ]: Accepting client
[09/05/22 15:32:51:8924625] [INFO   ]: Accepting connection
[09/05/22 15:32:51:9923963] [INFO   ]: Connection established
[09/05/22 15:32:52:0015375] [INFO   ]: Accepting client
[09/05/22 15:32:52:0017141] [INFO   ]: Accepting connection
[09/05/22 15:32:52:1008751] [INFO   ]: Connection established
[09/05/22 15:32:52:1110815] [INFO   ]: Accepting client
[09/05/22 15:32:52:1116593] [INFO   ]: Accepting connection
[09/05/22 15:32:52:2093596] [INFO   ]: Connection established
[09/05/22 15:32:52:2186330] [INFO   ]: Accepting client
[09/05/22 15:32:52:2188716] [INFO   ]: Accepting connection
[09/05/22 15:32:52:3178547] [INFO   ]: Connection established
[09/05/22 15:32:52:3269836] [INFO   ]: Accepting client
[09/05/22 15:32:52:3271943] [INFO   ]: Accepting connection
[09/05/22 15:32:52:4264089] [INFO   ]: Connection established
[09/05/22 15:32:52:4349728] [INFO   ]: Accepting client
[09/05/22 15:32:52:4351852] [INFO   ]: Accepting connection
[09/05/22 15:32:52:5348928] [INFO   ]: Connection established
[09/05/22 15:32:52:5445025] [INFO   ]: Accepting client
[09/05/22 15:32:52:5447854] [INFO   ]: Accepting connection
[09/05/22 15:32:52:6433612] [INFO   ]: Connection established
[09/05/22 15:32:52:6523094] [INFO   ]: Accepting client
[09/05/22 15:32:52:6525455] [INFO   ]: Accepting connection
[09/05/22 15:32:52:7518389] [INFO   ]: Connection established
[09/05/22 15:32:52:7613041] [INFO   ]: Accepting client
[09/05/22 15:32:52:7614958] [INFO   ]: Accepting connection
[09/05/22 15:32:52:8604453] [INFO   ]: Connection established
[09/05/22 15:32:52:8691929] [INFO   ]: Accepting client
[09/05/22 15:32:52:8694181] [INFO   ]: Accepting connection
[09/05/22 15:32:52:9688860] [INFO   ]: Connection established
[09/05/22 15:32:52:9786571] [INFO   ]: Accepting client
[09/05/22 15:32:52:9789280] [INFO   ]: Accepting connection
[09/05/22 15:32:53:0774072] [INFO   ]: Connection established
[09/05/22 15:32:53:0865034] [INFO   ]: Accepting client
[09/05/22 15:32:53:0867320] [INFO   ]: Accepting connection
[09/05/22 15:32:53:1858788] [INFO   ]: Connection established
[09/05/22 15:32:53:1947297] [INFO   ]: Accepting client
[09/05/22 15:32:53:1952104] [INFO   ]: Accepting connection
[09/05/22 15:32:53:2943848] [INFO   ]: Connection established
[09/05/22 15:32:53:3043212] [INFO   ]: Accepting client
[09/05/22 15:32:53:3045948] [INFO   ]: Accepting connection
[09/05/22 15:32:53:4029817] [INFO   ]: Connection established
[09/05/22 15:32:53:4123411] [INFO   ]: Accepting client
[09/05/22 15:32:53:4125525] [INFO   ]: Accepting connection
[09/05/22 15:32:53:5268605] [INFO   ]: Connection established
[09/05/22 15:32:53:5358344] [INFO   ]: Accepting client
[09/05/22 15:32:53:5360261] [INFO   ]: Accepting connection
[09/05/22 15:32:53:6508693] [INFO   ]: Connection established
[09/05/22 15:32:53:6602025] [INFO   ]: Accepting client
[09/05/22 15:32:53:6603625] [INFO   ]: Accepting connection
[09/05/22 15:32:53:7749534] [INFO   ]: Connection established
[09/05/22 15:32:53:7841889] [INFO   ]: Accepting client
[09/05/22 15:32:53:7843706] [INFO   ]: Accepting connection
[09/05/22 15:32:53:8988525] [INFO   ]: Connection established
[09/05/22 15:32:53:9077334] [INFO   ]: Accepting client
[09/05/22 15:32:53:9078946] [INFO   ]: Accepting connection
[09/05/22 15:32:54:0073526] [INFO   ]: Connection established
[09/05/22 15:32:54:0161658] [INFO   ]: Accepting client
[09/05/22 15:32:54:0163621] [INFO   ]: Accepting connection
[09/05/22 15:32:54:1158860] [INFO   ]: Connection established
